Matched Club,Player,Position,games,avg_score,median_score,ceiling,floor,volatility,goals,assists
Beşiktaş Jimnastik Kulübü,Alex Oxlade-Chamberlain,Midfielder,23,32.49130434782609,36.8,66.3,0.0,18.869333298514675,1.0,0.0
Sporting Clube de Braga,Diego Rodrigues,Midfielder,56,32.058928571428574,37.15,81.3,0.0,22.988572471680673,1.0,5.0
Beşiktaş Jimnastik Kulübü,Jota Silva,Forward,27,31.85925925925926,36.0,86.2,0.0,26.72134351843484,5.0,1.0
Vitória Sport Clube,Matija Mitrović,Midfielder,25,31.52,35.5,75.5,0.0,22.938849869453644,2.0,0.0
Beşiktaş Jimnastik Kulübü,Gökhan Sazdağı,Midfielder,24,31.150000000000002,36.2,69.5,0.0,23.21905139806721,0.0,0.0
Sporting Clube de Braga,Paulo Oliveira,Defender,77,31.064935064935064,35.0,98.6,0.0,26.512880515315796,1.0,0.0
Beşiktaş Jimnastik Kulübü,Tiago Djaló,Defender,28,30.732142857142858,30.3,100.0,0.0,30.40758986115179,2.0,0.0
Sporting Clube de Portugal,Iván Fresneda,Defender,78,30.47051282051282,35.05,74.6,0.0,22.849258187818695,4.0,1.0
Trabzonspor Kulübü,Benjamin Bouchouari,Midfielder,22,30.372727272727275,37.2,52.2,0.0,18.299028905230433,0.0,0.0
Vitória Sport Clube,Alberto Costa,Defender,28,29.789285714285715,32.0,100.0,0.0,32.93124531488929,0.0,3.0
Fußballclub Red Bull Salzburg,Takumu Kawamura,Midfielder,10,29.72,39.45,55.8,0.0,21.517889198421756,0.0,0.0
Sporting Clube de Portugal,João Simões,Midfielder,58,29.57241379310345,34.25,65.4,0.0,20.23353819171516,1.0,3.0
Futebol Clube do Porto,Deniz Gül,Forward,80,29.27125,35.0,70.6,0.0,19.98835859770331,8.0,2.0
The Celtic Football Club,Paulo Bernardo,Midfielder,71,28.956338028169014,35.5,100.0,0.0,24.70416814104955,2.0,3.0
Sporting Clube de Portugal,Georgios Vagiannidis,Defender,46,28.821739130434782,28.85,100.0,0.0,28.27407853331762,0.0,5.0
Vitória Sport Clube,Thiago Balieiro,Defender,20,28.705000000000002,25.95,86.3,0.0,26.874258374100204,1.0,0.0
Futebol Clube do Porto,Terem Moffi,Forward,18,28.47222222222222,31.65,65.9,0.0,22.12482783065097,2.0,1.0
The Celtic Football Club,Benjamin Arthur,Defender,8,28.337500000000002,18.45,70.9,0.0,31.85089985272899,0.0,0.0
Sporting Clube de Braga,Gabriel Moscardo,Midfielder,48,27.420833333333334,35.3,57.8,0.0,18.59453086297647,0.0,0.0
The Celtic Football Club,Anthony Ralston,Defender,81,26.92839506172839,32.7,100.0,0.0,28.23526268059101,2.0,2.0
Fenerbahçe Spor Kulübü,Levent Mercan,Defender,64,26.384375,31.450000000000003,87.7,0.0,26.459290196420856,0.0,4.0
The Celtic Football Club,Junior Adamu,Forward,8,26.3,30.549999999999997,65.1,0.0,24.33656860423366,0.0,1.0
The Celtic Football Club,Colby Donovan,Defender,40,26.255000000000003,30.15,85.3,0.0,26.019804587452818,0.0,3.0
Fußballclub Red Bull Salzburg,Valentin Sulzbacher,Midfielder,13,26.03076923076923,35.4,60.0,0.0,23.057550629363064,0.0,1.0
Fenerbahçe Spor Kulübü,Mert Hakan Yandaş,Midfielder,36,25.952777777777776,34.55,87.9,0.0,23.600248014569814,0.0,2.0
Futebol Clube do Porto,Tiago Djaló,Defender,28,24.685714285714287,24.85,89.9,0.0,26.731472840298945,1.0,0.0
Vitória Sport Clube,Diogo Sousa,Midfielder,38,24.642105263157895,30.2,64.6,0.0,23.13699075925877,1.0,1.0
Beşiktaş Jimnastik Kulübü,Kartal Yılmaz,Midfielder,34,24.40294117647059,32.650000000000006,67.9,0.0,23.512465878622866,0.0,2.0
Beşiktaş Jimnastik Kulübü,Mustafa Hekimoğlu,Forward,71,23.670422535211266,31.3,70.0,0.0,19.614232400888298,3.0,2.0
Vitória Sport Clube,FABIO BLANCO,Midfielder,23,23.491304347826084,32.8,52.3,0.0,18.49771270979391,0.0,0.0
Sport Lisboa e Benfica,Bruma,Forward,28,23.24285714285714,17.45,82.7,0.0,26.507307567864274,1.0,2.0
Beşiktaş Jimnastik Kulübü,Salih Uçan,Midfielder,78,23.05,33.55,72.2,0.0,21.550012806215495,1.0,1.0
Fußballclub Red Bull Salzburg,Tim Trummer,Midfielder,56,22.80892857142857,10.35,75.7,0.0,25.37199799912361,0.0,0.0
The Celtic Football Club,Michel-Ange Balikwisha,Forward,20,22.65,34.650000000000006,63.4,0.0,21.768676192132006,0.0,1.0
Fußballclub Red Bull Salzburg,Mamady Diambou,Midfielder,68,21.86764705882353,30.35,67.0,0.0,21.900517551142524,0.0,0.0
Vitória Sport Clube,Juan Castillo,Goalkeeper,34,21.526470588235295,0.0,77.1,0.0,28.965876567913384,0.0,0.0
Sporting Clube de Portugal,Ricardo Mangas,Defender,37,20.85675675675676,0.0,100.0,0.0,26.61938037241685,2.0,1.0
Galatasaray Spor Kulübü,Yáser Asprilla,Forward,12,20.349999999999998,28.299999999999997,39.9,0.0,18.407829361936777,0.0,0.0
Sport Lisboa e Benfica,João Rêgo,Midfielder,36,20.255555555555556,29.200000000000003,73.9,0.0,21.073116854614884,1.0,1.0
Sport Lisboa e Benfica,Anísio Cabral,Forward,14,19.95,0.0,66.2,0.0,25.680544866014518,2.0,0.0
Fußballclub Red Bull Salzburg,John Mellberg,Defender,20,19.935,0.0,100.0,0.0,30.76425258058621,0.0,0.0
Fußballclub Red Bull Salzburg,Anrie Chase,Defender,9,19.755555555555556,0.0,58.8,0.0,26.515236709819842,0.0,0.0
Fußballclub Red Bull Salzburg,Oliver Lukić,Midfielder,14,19.728571428571428,16.8,49.2,0.0,20.75733155265419,0.0,0.0
Vitória Sport Clube,Miguel Nóbrega,Defender,26,19.661538461538463,0.0,60.0,0.0,23.36530893308414,1.0,0.0
Sporting Clube de Portugal,Rafael Nel,Forward,24,18.7625,0.0,77.8,0.0,24.996379085605664,3.0,1.0
Sport Lisboa e Benfica,Rodrigo Rêgo,Forward,8,18.674999999999997,17.0,39.8,0.0,20.029175148838682,0.0,0.0
Beşiktaş Jimnastik Kulübü,Ersin Destanoğlu,Goalkeeper,83,18.43132530120482,0.0,86.2,0.0,26.083439881024788,0.0,0.0
Sporting Clube de Portugal,Souleymane Faye,Forward,14,17.85,15.95,40.5,0.0,18.641589153123352,0.0,0.0
Vitória Sport Clube,Zé Carlos,Midfielder,29,17.56551724137931,0.0,45.2,0.0,19.304334743820565,0.0,0.0
Sport Lisboa e Benfica,Daniel Banjaqui,Defender,7,17.085714285714285,0.0,68.7,0.0,29.62838889597996,0.0,0.0
Galatasaray Spor Kulübü,Ahmed Kutucu,Forward,57,16.724561403508773,0.0,67.5,0.0,20.08122151148888,1.0,1.0
Futebol Clube do Porto,Fran Navarro,Forward,10,16.71,0.0,67.1,0.0,23.704497932295933,0.0,1.0
Vitória Sport Clube,Orest Lebedenko,Defender,30,16.553333333333335,0.0,66.3,0.0,20.486929951815004,0.0,0.0
Sporting Clube de Portugal,Eduardo Felicíssimo,Midfielder,18,16.41111111111111,0.0,68.5,0.0,22.366410974255146,0.0,0.0
Sport Lisboa e Benfica,Henrique Araújo,Forward,20,15.76,0.0,37.1,0.0,17.900761524524444,0.0,0.0
Galatasaray Spor Kulübü,Arda Ünyay,Defender,24,15.516666666666666,0.0,62.6,0.0,20.1694488438992,0.0,0.0
Beşiktaş Jimnastik Kulübü,Taylan Bulut,Defender,23,15.06086956521739,0.0,66.3,0.0,22.103449733437017,0.0,0.0
Sport Lisboa e Benfica,José Neto,Defender,9,14.922222222222224,0.0,67.8,0.0,24.508558595813923,0.0,0.0
Sporting Clube de Braga,Sandro Vidigal,Forward,21,14.7,0.0,70.0,0.0,22.763215941514062,1.0,2.0
Vitória Sport Clube,Rica Rocha,Midfielder,6,13.75,0.0,47.3,0.0,21.642342756735,0.0,0.0
Sporting Clube de Portugal,Salvador Blopa,Defender,12,13.666666666666666,0.0,35.5,0.0,17.021608370396482,0.0,0.0
Trabzonspor Kulübü,Salih Malkoçoğlu,Midfielder,44,13.259090909090908,0.0,64.9,0.0,20.487379191372384,0.0,0.0
Trabzonspor Kulübü,Boran Başkan,Midfielder,11,12.745454545454544,0.0,38.6,0.0,17.825227271278404,0.0,0.0
Fußballclub Red Bull Salzburg,Enrique Aguilar,Forward,25,12.484000000000002,0.0,39.6,0.0,17.063183563840994,0.0,0.0
The Celtic Football Club,Dane Murray,Defender,44,12.384090909090908,0.0,100.0,0.0,23.987360462231603,0.0,0.0
Galatasaray Spor Kulübü,Metehan Baltacı,Defender,58,11.194827586206896,0.0,65.2,0.0,19.698414063990498,0.0,1.0
Fenerbahçe Spor Kulübü,Mert Günok,Goalkeeper,17,11.182352941176472,0.0,67.2,0.0,20.31422639722338,0.0,0.0
Fenerbahçe Spor Kulübü,Cengiz Ünder,Forward,26,10.842307692307692,0.0,38.6,0.0,16.62432369937311,0.0,0.0
Vitória Sport Clube,Charles,Goalkeeper,77,10.718181818181817,0.0,82.1,0.0,21.37083432645091,0.0,0.0
Galatasaray Spor Kulübü,Renato Nhaga,Midfielder,14,10.685714285714285,0.0,65.2,0.0,21.86401529534694,1.0,0.0
Galatasaray Spor Kulübü,Günay Güvenç,Goalkeeper,90,10.241111111111111,0.0,82.8,0.0,21.49157082972505,0.0,0.0
Beşiktaş Jimnastik Kulübü,Necip Uysal,Defender,22,9.527272727272727,0.0,44.4,0.0,16.132610623861396,0.0,0.0
Fußballclub Red Bull Salzburg,Christian Zawieschitzky,Goalkeeper,27,9.5,0.0,74.9,0.0,21.675526788026666,0.0,0.0
Beşiktaş Jimnastik Kulübü,Devrim Şahin,Forward,18,8.3,0.0,40.2,0.0,16.003529022577194,0.0,0.0
Futebol Clube do Porto,Dominik Prpić,Defender,38,8.213157894736844,0.0,53.1,0.0,16.643254798828256,0.0,0.0
Sporting Clube de Braga,Yanis da Rocha,Midfielder,36,7.416666666666667,0.0,38.4,0.0,14.229355973780802,0.0,0.0
Sporting Clube de Portugal,Flávio Gonçalves,Forward,15,7.133333333333334,0.0,37.2,0.0,14.775977930733513,0.0,0.0
Rangers Football Club,Leon King,Defender,20,7.12,0.0,41.4,0.0,14.717572740381513,0.0,0.0
Beşiktaş Jimnastik Kulübü,Yasin Özcan,Defender,13,7.1,0.0,46.9,0.0,17.333589741693245,0.0,0.0
Sporting Clube de Braga,João Aragão,Forward,5,7.0,0.0,35.0,0.0,15.652475842498529,0.0,0.0
Sporting Clube de Braga,Nuno Matos,Defender,5,7.0,0.0,35.0,0.0,15.652475842498529,0.0,0.0
Sporting Clube de Braga,Thiago Helguera,Midfielder,11,6.363636363636363,0.0,35.0,0.0,14.158197111728084,0.0,0.0
The Celtic Football Club,Viljami Sinisalo,Goalkeeper,88,6.322727272727272,0.0,100.0,0.0,18.346165168354265,0.0,0.0
Sport Lisboa e Benfica,Nuno Félix,Midfielder,11,6.199999999999999,0.0,39.3,0.0,13.988781219248516,0.0,0.0
Beşiktaş Jimnastik Kulübü,Devis Vásquez,Goalkeeper,13,5.915384615384616,0.0,76.9,0.0,21.32822254486006,0.0,0.0
Rangers Football Club,Bailey Rice,Midfielder,30,5.89,0.0,41.9,0.0,13.589786986734838,0.0,0.0
Fenerbahçe Spor Kulübü,Tarık Çetin,Goalkeeper,33,5.524242424242424,0.0,80.4,0.0,18.243749448493148,0.0,0.0
Sport Lisboa e Benfica,João Veloso,Midfielder,20,5.2299999999999995,0.0,35.4,0.0,12.774856060575441,0.0,0.0
Sport Lisboa e Benfica,Diogo Prioste,Midfielder,22,5.163636363636363,0.0,38.5,0.0,13.30197069018062,0.0,0.0
Rangers Football Club,Liam Kelly,Goalkeeper,94,5.008510638297872,0.0,91.0,0.0,16.89965743480808,0.0,0.0
Sporting Clube de Braga,João Carvalho,Goalkeeper,7,4.4,0.0,30.8,0.0,11.6413057686842,0.0,0.0
Trabzonspor Kulübü,Onuralp Çakıroğlu,Forward,20,3.6049999999999995,0.0,38.0,0.0,11.11397768577929,0.0,0.0
Sport Lisboa e Benfica,Samuel Soares,Goalkeeper,81,3.577777777777778,0.0,90.2,0.0,16.030385210593042,0.0,0.0
Sporting Clube de Portugal,João Virgínia,Goalkeeper,46,3.5130434782608693,0.0,65.7,0.0,13.61961997667992,0.0,0.0
Sporting Clube de Braga,Jonatás Noro,Defender,20,3.3,0.0,33.4,0.0,10.158014725225335,0.0,0.0
Fenerbahçe Spor Kulübü,Alaettin Ekici,Forward,10,3.1,0.0,31.0,0.0,9.803060746521975,0.0,0.0
Futebol Clube do Porto,Cláudio Ramos,Goalkeeper,89,2.9280898876404495,0.0,70.7,0.0,11.759435174709374,0.0,0.0
Sporting Clube de Portugal,Mauro Couto,Forward,14,2.6571428571428575,0.0,37.2,0.0,9.942118199142188,0.0,0.0
Galatasaray Spor Kulübü,Gökdeniz Gürpüz,Midfielder,15,2.5266666666666664,0.0,37.9,0.0,9.785737921417406,0.0,0.0
Galatasaray Spor Kulübü,Batuhan Şen,Goalkeeper,31,2.4516129032258065,0.0,42.0,0.0,9.545814823531893,0.0,0.0
Futebol Clube do Porto,João Costa,Goalkeeper,14,2.4285714285714284,0.0,34.0,0.0,9.086882225022427,0.0,0.0
Sporting Clube de Braga,Alaa Bellaarouch,Goalkeeper,31,1.1290322580645162,0.0,35.0,0.0,6.286185570937121,0.0,0.0
Trabzonspor Kulübü,Onuralp Çevikkan,Goalkeeper,36,1.0166666666666666,0.0,36.6,0.0,6.1,0.0,0.0
Trabzonspor Kulübü,Ahmet Yıldırım,Goalkeeper,30,0.7833333333333333,0.0,23.5,0.0,4.290493367123802,0.0,0.0
Sporting Clube de Braga,Tiago Sá,Goalkeeper,67,0.5955223880597015,0.0,39.9,0.0,4.874560829816579,0.0,0.0
Fußballclub Red Bull Salzburg,Salko Hamzić,Goalkeeper,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitória Sport Clube,Nuno Santos,Forward,31,0.0,0.0,0.0,0.0,0.0,3.0,5.0
Sporting Clube de Portugal,Diego Callai,Goalkeeper,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport Lisboa e Benfica,Gonçalo Oliveira,Defender,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport Lisboa e Benfica,Diogo Ferreira,Goalkeeper,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Celtic Football Club,Ross Doohan,Goalkeeper,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beşiktaş Jimnastik Kulübü,Emre Bilgin,Goalkeeper,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitória Sport Clube,Gui,Goalkeeper,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Futebol Clube do Porto,Gabriel Brás,Defender,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sport Lisboa e Benfica,Joshua Wynder,Defender,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatasaray Spor Kulübü,Furkan Koçak,Midfielder,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Futebol Clube do Porto,André Oliveira,Midfielder,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galatasaray Spor Kulübü,Eyüp Karasu,Midfielder,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangers Football Club,Aiden McCallion,Midfielder,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beşiktaş Jimnastik Kulübü,Emir Yaşar,Goalkeeper,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting Clube de Portugal,Bruno Ramos,Defender,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
