Matched Club,Player,Position,games,avg_score,median_score,ceiling,floor,volatility,goals,assists
Trabzonspor Kulübü,Stefan Savić,Defender,39,52.58717948717949,53.1,100.0,0.0,19.821747486392436,1.0,1.0
Trabzonspor Kulübü,Ernest Muçi,Midfielder,27,52.529629629629625,45.4,88.6,0.0,22.793923191783694,11.0,4.0
Sport Lisboa e Benfica,Fredrik Aursnes,Midfielder,87,52.40229885057471,48.7,91.2,0.0,17.671373362427186,7.0,16.0
Futebol Clube do Porto,Jakub Kiwior,Defender,40,52.339999999999996,54.5,100.0,0.0,28.32144969489579,0.0,2.0
Rangers Football Club,John Souttar,Defender,69,52.11304347826087,52.5,95.7,0.0,22.641073510738625,1.0,0.0
Trabzonspor Kulübü,Wagner Pina,Defender,31,52.07741935483871,55.3,100.0,21.2,19.592170369434474,0.0,7.0
Beşiktaş Jimnastik Kulübü,Junior Olaïtan,Midfielder,14,51.94285714285714,47.8,76.4,28.0,15.642924883189169,2.0,2.0
Fenerbahçe Spor Kulübü,Milan Škriniar,Defender,61,51.92950819672131,55.3,100.0,0.0,26.548605388747486,5.0,3.0
Galatasaray Spor Kulübü,Gabriel Sara,Midfielder,84,51.839285714285715,46.9,100.0,0.0,21.893086425138613,8.0,15.0
Sporting Clube de Portugal,Rui Silva,Goalkeeper,62,51.70322580645161,48.6,81.1,10.7,16.481852591059702,0.0,0.0
Sporting Clube de Portugal,Geovany Quenda,Midfielder,70,51.494285714285716,46.55,89.8,29.8,14.444415055446028,6.0,13.0
The Celtic Football Club,Julián Araujo,Defender,11,51.45454545454545,59.3,76.5,9.1,20.22737568921701,1.0,0.0
Beşiktaş Jimnastik Kulübü,El Bilal Touré,Forward,22,51.35909090909092,51.75,86.5,32.8,15.186825715885309,5.0,5.0
Sporting Clube de Portugal,Geny Catamo,Midfielder,78,51.305128205128206,45.6,95.8,26.2,16.079057100964512,13.0,9.0
Rangers Football Club,Derek Cornelius,Defender,11,51.18181818181818,55.0,89.4,0.0,24.926083454157745,1.0,1.0
Trabzonspor Kulübü,Mustafa Eskihellaç,Forward,43,51.13255813953488,46.9,92.4,19.9,14.927949512020868,0.0,7.0
Fußballclub Red Bull Salzburg,Amar Dedić,Defender,17,50.976470588235294,46.0,87.9,18.7,18.454590533650588,0.0,2.0
The Celtic Football Club,Arne Engels,Midfielder,76,50.91578947368421,44.75,100.0,0.0,20.599087699096962,15.0,13.0
Futebol Clube do Porto,Victor Froholdt,Midfielder,46,50.699999999999996,42.8,99.6,28.5,18.23006064474584,7.0,6.0
The Celtic Football Club,Daizen Maeda,Forward,81,50.565432098765434,45.2,93.1,19.8,17.6037649417236,27.0,16.0
The Celtic Football Club,Auston Trusty,Defender,71,50.53802816901408,55.5,100.0,0.0,29.65315866671679,3.0,1.0
The Celtic Football Club,Liam Scales,Defender,85,50.38705882352941,50.3,100.0,0.0,30.395060642883966,4.0,6.0
Galatasaray Spor Kulübü,Leroy Sané,Forward,41,50.18292682926829,48.3,97.9,0.0,21.157763379419674,7.0,7.0
Sporting Clube de Braga,Gustaf Lagerbielke,Defender,47,49.95531914893617,45.8,100.0,19.4,19.78533502271688,2.0,0.0
Sporting Clube de Portugal,Daniel Bragança,Midfielder,49,49.834693877551025,44.5,93.9,0.0,22.160207871885365,10.0,7.0
Fenerbahçe Spor Kulübü,Fred,Midfielder,88,49.82159090909091,48.25,99.5,0.0,21.151030239648783,9.0,10.0
Futebol Clube do Porto,Oskar Pietuszewski,Forward,17,49.34705882352941,45.1,90.8,0.0,20.247935624621675,3.0,4.0
Fenerbahçe Spor Kulübü,Nelson Semedo,Defender,39,49.3025641025641,46.2,87.3,11.5,18.73221945963533,1.0,3.0
Fenerbahçe Spor Kulübü,Ederson,Goalkeeper,33,49.24848484848485,43.2,86.6,6.8,20.641389264232576,0.0,0.0
Beşiktaş Jimnastik Kulübü,Wilfred Ndidi,Midfielder,28,48.875,50.95,86.4,0.0,17.975263352524006,2.0,1.0
Sport Lisboa e Benfica,Samuel Dahl,Defender,70,48.714285714285715,47.9,100.0,0.0,24.421707412887056,2.0,6.0
Sporting Clube de Braga,Roger Fernandes,Forward,52,48.66730769230769,45.55,100.0,0.0,22.190200284985774,6.0,7.0
Sporting Clube de Braga,Pau Víctor,Forward,51,48.562745098039215,43.5,93.6,0.0,19.119403346174934,15.0,5.0
Rangers Football Club,Jack Butland,Goalkeeper,89,48.48876404494382,45.4,93.9,0.0,23.129248691774777,0.0,1.0
Galatasaray Spor Kulübü,Roland Sallai,Forward,73,48.33698630136986,45.0,92.7,0.0,17.683282334589634,5.0,6.0
Sport Lisboa e Benfica,Tomás Araújo,Defender,82,48.15243902439025,49.9,96.6,0.0,26.4720734546817,2.0,4.0
Sporting Clube de Braga,Víctor Gómez,Defender,96,48.1,49.75,94.1,0.0,22.286493431531216,2.0,14.0
Futebol Clube do Porto,Gabri Veiga,Midfielder,46,48.08695652173913,44.55,92.6,0.0,20.337000857174942,5.0,11.0
Fußballclub Red Bull Salzburg,Stefan Lainer,Defender,41,47.97560975609756,48.1,100.0,0.0,21.65314966105168,0.0,2.0
Sport Lisboa e Benfica,Amar Dedić,Defender,40,47.7625,48.150000000000006,95.3,0.0,21.982681849175076,1.0,5.0
Vitória Sport Clube,Gustavo Silva,Forward,49,47.41020408163265,40.5,80.1,12.8,15.483529486979048,13.0,2.0
Futebol Clube do Porto,Alberto Costa,Defender,43,47.18604651162791,44.4,100.0,0.0,22.62614986707436,1.0,9.0
The Celtic Football Club,Reo Hatate,Midfielder,85,47.13411764705882,41.3,100.0,0.0,18.419791070509792,15.0,9.0
Vitória Sport Clube,Rodrigo Abascal,Defender,30,47.05,53.05,100.0,0.0,25.654518322214265,1.0,2.0
Trabzonspor Kulübü,André Onana,Goalkeeper,29,46.9,43.4,90.5,19.7,17.884989716040014,0.0,1.0
Sport Lisboa e Benfica,Enzo Barrenechea,Midfielder,44,46.89090909090908,47.25,92.5,0.0,21.8567728652829,2.0,0.0
Vitória Sport Clube,Gonçalo Nogueira,Midfielder,24,46.87083333333334,43.3,95.2,0.0,18.86018302199606,0.0,4.0
Vitória Sport Clube,Noah Saviolo,Forward,30,46.75333333333333,44.75,92.4,30.8,14.493226321126789,2.0,5.0
Trabzonspor Kulübü,Eren Elmalı,Defender,24,46.49166666666667,43.15,92.8,0.0,24.829959405081013,0.0,1.0
Rangers Football Club,Andreas Skov Olsen,Forward,10,46.309999999999995,51.3,74.5,0.0,27.278825732302575,1.0,3.0
Trabzonspor Kulübü,Felipe Augusto,Forward,34,46.11764705882353,40.3,82.9,0.0,18.88296443387668,13.0,0.0
Futebol Clube do Porto,Pepê,Forward,87,46.08850574712643,43.8,81.0,0.0,17.20905268319188,8.0,10.0
Beşiktaş Jimnastik Kulübü,Kristjan Asllani,Midfielder,14,46.050000000000004,42.0,93.5,14.0,18.391417312682314,2.0,2.0
Futebol Clube do Porto,Nehuen Pérez,Defender,44,45.90681818181818,47.3,100.0,0.0,23.620235685247483,2.0,2.0
Galatasaray Spor Kulübü,Noa Lang,Forward,19,45.794736842105266,41.9,83.1,0.0,22.158456466605614,2.0,3.0
Rangers Football Club,Youssef Chermiti,Forward,33,45.71212121212121,37.4,100.0,26.1,18.848636515272087,11.0,3.0
