player_id,player_name,team,position,games,avg_score,median_score,score_volatility,score_floor,score_ceiling,recent_form,longer_form,form_delta,consistency_index,score_per_eur
anderson-souza-conceicao,Talisca,Fenerbahçe Spor Kulübü,MID,75,46.473333333333336,42.6,25.90572478384993,0.0,96.3,66.44,39.580000000000005,26.859999999999992,1.7272656175100995,
maximiliano-javier-araujo-vilches,Maximiliano Araújo,Sporting Clube de Portugal,MID,106,45.890566037735844,43.45,22.171906412446003,0.0,100.0,55.7,43.333333333333336,12.366666666666667,1.9804398145284794,
gabriel-davi-gomes-sara,Gabriel Sara,Galatasaray Spor Kulübü,MID,96,45.817708333333336,44.55,26.34257708206548,0.0,100.0,22.82,30.780000000000005,-7.960000000000004,1.6756909268580265,
victor-gomez-perea,Víctor Gómez,Sporting Braga,DEF,101,45.718811881188124,47.5,24.120678733697712,0.0,94.1,41.44000000000001,44.95333333333333,-3.513333333333321,1.8199672216602727,
borja-sainz-eguskiza,Borja Sainz,FC Porto,MID,92,45.38804347826087,40.35,23.38522047767131,0.0,100.0,25.98,35.17999999999999,-9.199999999999992,1.8612931353161684,
baris-alper-yilmaz,Barış Yılmaz,Galatasaray Spor Kulübü,FWD,112,45.34196428571429,41.95,25.51340449096188,0.0,100.0,53.02,50.58666666666667,2.43333333333333,1.7101524740502811,
leroy-sane,Leroy Sané,Galatasaray Spor Kulübü,FWD,108,45.32314814814814,43.85,24.7205072328018,0.0,97.9,52.760000000000005,35.32,17.440000000000005,1.7621405261536507,
kasper-schmeichel,Kasper Schmeichel,Celtic FC,GK,114,45.27105263157895,44.25,28.39605395645829,0.0,98.1,0.0,7.8533333333333335,-7.8533333333333335,1.5400384248387506,
geny-cipriano-catamo,Geny Catamo,Sporting Clube de Portugal,MID,101,45.255445544554455,42.9,22.38526959966095,0.0,95.8,46.5,51.99333333333334,-5.493333333333339,1.935211623355011,
gabriel-veiga-novas,Gabri Veiga,FC Porto,MID,62,45.20161290322581,44.25,22.16427854132716,0.0,92.6,53.739999999999995,47.6,6.1399999999999935,1.9513499124344433,
matteo-guendouzi-olie,Mattéo Guendouzi,Fenerbahçe Spor Kulübü,MID,100,45.199,47.3,23.74222464962227,0.0,100.0,40.1,55.593333333333334,-15.493333333333332,1.8267961204001935,
soumaila-diabate,Soumaïla Diabaté,FC Red Bull Salzburg,MID,75,44.962666666666664,45.7,22.35086172432329,0.0,100.0,36.7,34.440000000000005,2.259999999999998,1.925524941969553,
frederico-rodrigues-santos,Fred,Fenerbahçe Spor Kulübü,MID,98,44.737755102040815,45.4,25.120310570450776,0.0,99.5,44.519999999999996,36.96666666666667,7.5533333333333275,1.7127573954902153,
daizen-maeda,Daizen Maeda,Celtic FC,FWD,113,44.72300884955752,41.8,23.731233220203848,0.0,93.1,66.12,45.69333333333334,20.426666666666662,1.80836145336342,
roger-fernandes,Roger Fernandes,Sporting Braga,FWD,72,44.170833333333334,42.05,25.63051898657393,0.0,100.0,52.31999999999999,44.93333333333332,7.38666666666667,1.6586546193712015,
arne-engels,Arne Engels,Celtic FC,MID,102,43.932352941176475,43.55,24.779431592601494,0.0,100.0,42.84,17.060000000000002,25.78,1.7041629790543844,
jack-butland,Jack Butland,Rangers FC,GK,104,43.57788461538462,40.8,25.44001113119822,0.0,93.9,29.779999999999994,39.54,-9.760000000000005,1.6481795109369055,
eduardo-gabriel-aquino-cossa,Pepê,FC Porto,FWD,93,43.5,43.6,19.66361128317106,0.0,81.0,38.760000000000005,42.46666666666667,-3.7066666666666634,2.105149937437482,
hyun-gyu-oh,Hyeongyu Oh,Beşiktaş Jimnastik Kulübü,FWD,102,43.3156862745098,37.45,20.672274181168213,0.0,85.5,52.82000000000001,52.24666666666667,0.5733333333333377,1.9986682483072449,
mads-bidstrup,Mads Bidstrup,FC Red Bull Salzburg,MID,93,43.30430107526882,47.5,25.20388994294719,0.0,97.1,28.559999999999995,45.55333333333333,-16.993333333333332,1.6525905569575263,
yunus-akgun,Yunus Akgün,Galatasaray Spor Kulübü,FWD,106,43.17830188679245,42.75,28.66465886008657,0.0,100.0,64.16,37.96666666666667,26.193333333333328,1.4555468879801723,
richard-rios-montoya,Richard Ríos,SL Benfica,MID,111,42.86486486486486,44.0,25.297893008378992,0.0,100.0,47.56,52.07333333333334,-4.513333333333335,1.629973353804707,
mohammed-diomande,Mohammed Diomandé,Rangers FC,MID,109,42.85871559633028,42.5,23.438324152459636,0.0,100.0,44.48,36.9,7.579999999999998,1.7537501887999423,
noa-lang,Noa Lang,Galatasaray Spor Kulübü,FWD,107,42.814018691588785,41.6,26.93484608639449,0.0,98.7,45.66000000000001,33.96666666666667,11.693333333333342,1.5326384315552435,
mehmet-umut-nayir,Umut Nayir,Trabzonspor Kulübü,FWD,72,42.58611111111111,38.650000000000006,20.26597304687777,0.0,89.9,40.4,37.2,3.1999999999999957,2.002547027461954,
franjo-ivanovic,Franjo Ivanović,SL Benfica,FWD,114,41.794736842105266,37.9,23.645976072968725,0.0,95.8,49.6,35.519999999999996,14.080000000000005,1.6958036767691664,
ilkay-gundogan,Ilkay Gündogan,Galatasaray Spor Kulübü,MID,97,41.53092783505155,41.2,25.499854414718165,0.0,100.0,32.32,28.319999999999997,4.0000000000000036,1.5672134338966424,
reo-hatate,Reo Hatate,Celtic FC,MID,106,41.37641509433962,40.25,23.25075954473334,0.0,100.0,21.900000000000006,31.706666666666667,-9.806666666666661,1.706190481086418,
andre-onana,André Onana,Trabzonspor Kulübü,GK,93,41.13333333333333,41.0,23.50131047841585,0.0,90.5,38.76,45.06666666666667,-6.306666666666672,1.6788217662712073,
emmanuel-agbadou,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,DEF,88,41.09431818181818,44.599999999999994,30.25353539881714,0.0,100.0,47.620000000000005,48.54666666666666,-0.9266666666666552,1.3148694270080399,
alan-varela,Alan Varela,FC Porto,MID,95,41.066315789473684,43.1,20.238569721383506,0.0,100.0,35.42,39.82,-4.399999999999999,1.933572567653985,
marco-asensio-willemsen,Marco Asensio,Fenerbahçe Spor Kulübü,MID,90,40.98444444444444,42.0,28.954846331700406,0.0,100.0,7.94,43.54,-35.6,1.3682074676868468,
leonardo-filipe-cruz-lelo,Leonardo Lelo,Sporting Braga,DEF,88,40.76590909090909,40.1,24.987237599266855,0.0,97.2,23.36,19.346666666666668,4.013333333333332,1.568689589849256,
mustafa-eskihellac,Mustafa Eskihellaç,Trabzonspor Kulübü,FWD,77,40.603896103896105,43.7,23.66736283509447,0.0,92.4,40.5,36.440000000000005,4.059999999999995,1.646057439351749,
sota-kitano,Sota Kitano,FC Red Bull Salzburg,FWD,83,40.59879518072289,40.3,23.548338939793425,0.0,99.6,49.38000000000001,39.77333333333333,9.606666666666676,1.6538306432990992,
yorbe-vertessen,Yorbe Vertessen,FC Red Bull Salzburg,FWD,83,40.59156626506024,37.3,20.1083480105159,0.0,83.7,50.04,31.793333333333333,18.246666666666666,1.9230100927290972,
enzo-barrenechea,Enzo Barrenechea,SL Benfica,MID,89,40.47977528089888,45.5,25.420505233227832,0.0,95.7,19.66,34.45333333333334,-14.79333333333334,1.5321347916537704,
auston-trusty,Auston Trusty,Celtic FC,DEF,102,40.43627450980392,46.150000000000006,32.41974642498815,0.0,100.0,57.56000000000002,35.95333333333333,21.606666666666683,1.209951565627963,
wagner-fabricio-cardoso-pina,Wagner Pina,Trabzonspor Kulübü,DEF,77,40.361038961038965,39.5,26.259289864151217,0.0,100.0,40.94,42.35333333333333,-1.413333333333334,1.4806342777886485,
thelo-aasgaard,Thelonious Aasgaard,Rangers FC,MID,79,40.34303797468354,39.6,23.04742982246863,0.0,84.9,52.82000000000001,43.24,9.580000000000005,1.6776444831118362,
tomas-lemos-araujo,Tomás Araújo,SL Benfica,DEF,104,39.96153846153846,43.3,29.98829644751013,0.0,96.6,19.2,35.57333333333334,-16.37333333333334,1.2895687418386408,
tochi-phil-chukwuani,Tochi Chukwuani,Rangers FC,MID,87,39.92873563218391,40.7,21.074270149551417,0.0,88.1,42.4,40.080000000000005,2.319999999999993,1.808836050373123,
fabio-samuel-amorim-silva,Samu,Vitória Guimarães SC,MID,81,39.779012345679014,37.9,21.647059361778116,0.0,85.4,58.480000000000004,55.40666666666666,3.073333333333345,1.7564758280633481,
michael-amir-murillo-bermudez,Michael Murillo,Beşiktaş Jimnastik Kulübü,DEF,90,39.58111111111111,36.15,25.99569063009926,0.0,100.0,19.58,30.826666666666664,-11.246666666666666,1.4662010931100071,
heorhii-sudakov,Heorhii Sudakov,SL Benfica,MID,74,39.37027027027027,40.0,23.852157248462987,0.0,93.2,0.0,15.140000000000002,-15.140000000000002,1.5841791872093989,
felipe-augusto-da-silva,Felipe Augusto,Trabzonspor Kulübü,FWD,82,39.369512195121956,36.650000000000006,18.43663615862526,0.0,82.9,41.38,44.22,-2.8399999999999963,2.025531160527035,
leandro-barreiro-martins,Leandro Barreiro,SL Benfica,MID,116,39.34396551724138,39.150000000000006,20.946209738251,0.0,100.0,58.64,45.53333333333333,13.10666666666667,1.7927453526823394,
geovany-tcherno-quenda,Geovany Quenda,Sporting Clube de Portugal,MID,99,39.25252525252525,41.9,26.610441189366306,0.0,95.9,46.2,20.86,25.340000000000003,1.4216551261644708,
tuur-rommens,Tuur Rommens,Rangers FC,DEF,77,39.24545454545455,44.1,26.616716875393934,0.0,98.6,28.56000000000001,35.11333333333333,-6.55333333333332,1.421076036030251,
joao-miguel-teixeira-mendes,João Mendes,Vitória Guimarães SC,DEF,81,39.208641975308645,40.1,19.876155296805166,0.0,100.0,34.86,42.833333333333336,-7.973333333333336,1.878154354471057,
rodrigo-abascal-barros,Rodrigo Abascal,Vitória Guimarães SC,DEF,68,39.07647058823529,42.25,25.578273882731363,0.0,100.0,18.520000000000003,29.826666666666668,-11.306666666666665,1.4702410984493748,
francisco-sampaio-moura,Francisco Moura,FC Porto,DEF,93,39.00752688172043,39.9,27.65599328300068,0.0,93.4,14.680000000000001,9.746666666666666,4.933333333333335,1.3612345067396596,
john-souttar,John Souttar,Rangers FC,DEF,122,38.66065573770492,41.25,30.390623710016385,0.0,95.7,0.0,24.34666666666667,-24.34666666666667,1.2315988396678068,
mert-muldur,Mert Müldür,Fenerbahçe Spor Kulübü,DEF,116,38.59827586206896,39.6,26.3705566469702,0.0,100.0,36.539999999999985,36.38666666666666,0.15333333333332178,1.4102115773499118,
roland-sallai,Roland Sallai,Galatasaray Spor Kulübü,FWD,109,38.502752293577984,41.9,23.673690110877335,0.0,92.7,45.120000000000005,37.46,7.660000000000004,1.560478068767028,
bernardo-pinto-lima,Bernardo Lima,FC Porto,MID,1,38.5,38.5,,38.5,38.5,,,,38.5,
hidemasa-morita,Hidemasa Morita,Sporting Clube de Portugal,MID,97,38.47113402061856,40.5,23.389171099939986,0.0,90.8,47.98,49.14666666666667,-1.1666666666666714,1.5773858760092598,
nelson-cabral-semedo,Nelson Semedo,Fenerbahçe Spor Kulübü,DEF,100,38.417,39.9,22.59562867798848,0.0,87.3,49.339999999999996,36.72666666666667,12.61333333333333,1.6281405562140352,
rodrigo-zalazar-martinez,Rodrigo Zalazar,Sporting Braga,MID,109,38.25963302752294,38.5,30.346575617620108,0.0,98.0,41.8,33.833333333333336,7.9666666666666615,1.2205362874156167,
gustaf-lagerbielke,Gustaf Lagerbielke,Sporting Braga,DEF,111,38.24684684684684,40.0,28.032318425896854,0.0,100.0,36.660000000000004,42.36000000000001,-5.700000000000003,1.3173886523899043,
zeno-debast,Zeno Debast,Sporting Clube de Portugal,DEF,106,38.07830188679245,40.05,28.994295020841868,0.0,100.0,46.94,33.75333333333334,13.18666666666666,1.269518148712391,
joao-filipe-iria-santos-moutinho,João Moutinho,Sporting Braga,MID,101,38.0,44.5,22.71110741465506,0.0,94.1,30.559999999999995,41.78666666666667,-11.226666666666674,1.6026244297857402,
oliver-antman,Oliver Antman,Rangers FC,FWD,102,37.950980392156865,39.25,27.135416720836872,0.0,100.0,29.2,24.986666666666668,4.213333333333331,1.3488686081571581,
mario-lemina,Mario Lemina,Galatasaray Spor Kulübü,MID,97,37.94536082474227,40.5,26.26203700455976,0.0,95.3,49.279999999999994,45.193333333333335,4.086666666666659,1.3918754793853316,
